Id,Designator,Footprint,Quantity,Comment,JLCPCB Part #
1,"C1, C2",C_0201_0603Metric,2,14pF,C3034512
2,"C3, C4, C23, C8, C9, C10, C11, C12, C13, C18",C_0201_0603Metric,10,0.1uF,C181043
3,"C5, C6",C_0201_0603Metric,2,4.7nF,C66943
4,"C7, C24",C_0201_0603Metric,2,2.2uF,C386031
5,C15,C_0402_1206Metric,1,10uF,C307415
6,"C16, C17",C_0201_0603Metric,2,1uF,C386037
7,"C19, C22 ",C_0201_0603Metric,1,6pF,C85915
8,"C20, C21",C_0201_0603Metric,2,24pF,C1556
9,"R1, R2, R3, R6, R7, R13",R_0201_0603Metric,7,10k,
10,"R4, R5, R8, R9",R_0201_0603Metric,4,62,C25073
11,R10,R_1206_3216Metric,1,1k,
12,R11,R_1206_3216Metric,1,80k,
13,R12,R_1206_3216Metric,1,10k,
14,"U4, U2 ",SOIC-8_3.9x4.9mm_P1.27mm,2,MCP2557FD-H/SN,C129258
15,U3,DFN-14-1EP_3x4.5mm_P0.65mm,1,MCP2518FDT-E/QBB,C621395
16,U1,LQFP-100_14x14mm_P0.5mm,1,STM32H743VIT6,C114409
17,Y1,SMD5032-4P,1,7I25000F18UCG,C557176
18,Y2,SMD1210-4P,1,ABS04W32768KHZ6D2T5,C2961107
19,Y3,SMD2520-4P,1,Q24FA20H00209,C255973
20,J1,"Plugin,P=2.54mm",1,"PinHeader 2x20, 2.54mm",C50980
21,"Q1, Q2, Q3, J2, J3, J4, J5, J6, J7, J8 ",DNP,DNP,Do Not Place,DNP
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
